Generic Enabler,F00[40],F01[30],F02[40],F03[9],F04[10],F05[10],F06[20],rating,label
"POI Data Provider",24,26,40,9,0,0,5,"0,654","A"
"Business API Ecosystem - Biz Ecosystem RI",24,24,35,9,0,0,12,"0,654","A"
"Store - WStore",24,23,40,0,0,0,12,"0,623","A"
"3D-UI-XML3D",24,30,30,6,0,0,8,"0,616","A"
"Authorization PDP - AuthZForce",14,28,40,9,0,0,5,"0,604","A"
"Repository - Repository RI",24,28,40,0,0,0,4,"0,604","A"
"Privacy",23,30,40,0,0,0,3,"0,604","A"
"Synchronization - FiVES",24,26,31,6,0,0,8,"0,598","B"
"Application Mashup - Wirecloud",24,22,35,0,0,0,13,"0,591","B"
"Augmented Reality",24,27,30,9,0,0,3,"0,585","B"
"Trustworthy Factory",24,27,30,6,0,0,5,"0,579","B"
"IoT Discovery",24,15,40,3,0,0,9,"0,572","B"
"Interface Designer",24,19,40,3,0,0,5,"0,572","B"
"Policy Manager - Bosun",14,22,40,9,0,0,5,"0,566","B"
"Complex Event Processing (CEP) - Proactive Technology Online",24,29,31,3,0,0,3,"0,566","B"
"3DUI - WebTundra",24,23,40,0,0,0,3,"0,566","B"
"Backend Device Management - IDAS",14,26,31,9,0,0,9,"0,56","B"
"Data Visualization - SpagoBI",24,27,35,0,0,0,3,"0,56","B"
"GIS Data Provider - Geoserver/3D",24,17,40,0,0,0,7,"0,553","B"
"Marketplace - WMarket",24,30,30,0,0,0,4,"0,553","B"
"FIWARE NGSI10 TestServer",24,30,30,0,0,0,4,"0,553","B"
"Identity Management - KeyRock",24,5,40,9,0,0,9,"0,547","B"
"Synchronization",14,30,40,0,0,0,3,"0,547","B"
"Stream-oriented - Kurento",24,16,30,9,0,0,8,"0,547","B"
"IoT Data Edge Consolidation GE - Cepheus",24,25,30,0,0,0,8,"0,547","B"
"Self Service Interfaces - Cloud Portal",24,8,40,9,0,0,5,"0,541","B"
"CKAN",24,28,30,0,0,0,3,"0,535","B"
"Publish/Subscribe Context Broker - Orion Context Broker",14,20,40,0,0,0,9,"0,522","B"
"PEP Proxy - Wilma",24,6,40,9,0,0,4,"0,522","B"
"SoPeCo",14,26,30,6,0,0,6,"0,516","B"
"Cyber Security GE - CyberCAPTOR",23,28,31,0,0,0,0,"0,516","B"
"Electronic Data Exchange - Domibus",24,29,20,3,0,0,2,"0,491","C"
"Real Virtual Interaction",24,17,30,0,0,0,7,"0,491","C"
"2D-UI",24,19,30,0,0,0,5,"0,491","C"
"IoT Broker",14,21,40,0,0,0,2,"0,484","C"
"Cloud Messaging - AEON",24,18,31,0,0,0,4,"0,484","C"
"Virtual Characters",14,28,30,0,0,0,3,"0,472","C"
"2D/3D Capture",24,13,30,0,0,0,7,"0,466","C"
"Trace Analyzer",14,19,30,6,0,0,2,"0,447","C"
"Security Monitoring",24,15,20,3,0,0,7,"0,434","C"
"Revenue Settlement and Sharing System - RSS RI",24,26,10,0,0,0,8,"0,428","C"
"Protocol Adapter - MR CoAP",24,7,30,0,0,0,6,"0,421","C"
"Application Management - Murano",14,24,10,9,0,0,5,"0,39","D"
"Kiara Advanced Middleware",24,27,0,0,0,0,10,"0,384","D"
"Object Storage GE - FIWARE Implementation",24,29,0,3,0,0,4,"0,377","D"
"Unit Functional Testing Framework",14,30,0,6,0,0,6,"0,352","D"
"Fast RTPS",24,28,0,0,0,0,3,"0,346","D"
"PROSA",14,29,0,6,0,0,6,"0,346","D"
"FIA Project Management Plugin",24,27,0,0,0,0,3,"0,34","D"
"Network Information and Control - OFNIC",24,17,0,0,0,0,11,"0,327","D"
"Software Deployment & Configuration - Sagitta",14,23,0,9,0,0,5,"0,321","D"
"REST Client Generator",14,25,0,6,0,0,6,"0,321","D"
"PaaS Manager - Pegasus",14,21,0,9,0,0,5,"0,308","D"
"FusionForge Connector",14,23,0,6,0,0,5,"0,302","D"
"Cloud Rendering",24,18,0,0,0,0,5,"0,296","D"
"Docker",24,20,1,0,0,0,2,"0,296","D"
"myForge",14,25,0,3,0,0,5,"0,296","D"
"BigData Analysis - Cosmos",14,22,0,0,0,0,7,"0,271","D"
"Monitoring GE - Sextant",14,20,0,3,0,0,5,"0,264","D"
"IaaS GE - FIWARE Reference Implementation",24,16,0,0,0,0,2,"0,264","D"
"3D-UI-WebTundra with Synchronization server",22,0,0,0,0,0,3,"0,157","D"
"Wirecloud Monetization",22,0,0,0,0,0,0,"0,138","D"
"3D-UI-XML3D Geo Visualization",22,0,0,0,0,0,0,"0,138","D"
"Business Framework Consumption",22,0,0,0,0,0,0,"0,138","D"
"Data Context Streams",22,0,0,0,0,0,0,"0,138","D"
